ListingID,S,SubType,St#,StName,City,MLSArea,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,AcLSqft,DOM/CDOM,ViewYN,PoolPrivateYN,BAC,Contract Status Change Date,MLS
PI1068463,A,SFR/A,12400,San Marcos RD  ,ATSC,ATSC,,"$1,054,000 ",$300.71 ,"4/2,1,0,0",3505/SEE,2007,"2.53/110,207",154/154,Y,,2.5,6/27/16,CCR
PI1064308,A,SFR/D,5255,Escarpa AV  ,ATSC,ATSC,,"$1,200,000 ",$240.10 ,"4/3,0,1,0",4998/S,2002,"2.3/100,188",264/264,Y,,2,3/9/16,CCR
PR1070898,A,SFR/D,5950,Rocky Canyon RD  ,ATSC,ATSC,,"$2,499,000 ",$658.67 ,"4/2,2,0,0",3794/AP,1948,"59.7/2,600,532",36/36,Y,Y,2.5,9/6/16,CCR
SP1068182,A,/A,260,2nd   ,AVIL,AVIL,,"$469,900 ",$306.92 ,"2/2,0,0,0",1531/B,0,"0.108/4,700",119/119,Y,,2,8/1/16,CCR
SP1068757,A,/A,270,2nd   ,AVIL,AVIL,,"$489,900 ",$319.99 ,"2/2,0,0,0",1531/B,0,"0.108/4,700",119/119,Y,,2,8/1/16,CCR
SP1068180,A,/D,240,2nd    #1 & 2,AVIL,AVIL,,"$599,900 ",$304.52 ,"2/2,0,1,0",1970/B,0,"0.108/4,700",119/119,Y,,2,8/1/16,CCR
SP1070299,A,CONDO/A,6435,Fiddleneck LN   #22,AVIL,AVIL,,"$675,000 ",$482.83 ,"2/2,0,1,0",1398/SEE,1987,"0.0321/1,398",94/94,Y,,2.5,8/17/16,CCR
SP1071688,A,CONDO/A,2283,Cranesbill PL  ,AVIL,AVIL,,"$699,000 ",$404.75 ,"2/2,0,1,0",1727/A,1988,"0.0396/1,725",59/261,Y,,2,9/30/16,CCR
SC1071510,A,CONDO/A,290,Ocean Oaks DR  ,AVIL,AVIL,,"$875,000 ",$745.95 ,"1/2,0,1,0",1173/A,2005,0.018/784,63/63,Y,Y,2.25,9/26/16,CCR
PI1070411,A,SFR/A,2880,Elderberry   ,AVIL,AVIL,,"$979,000 ",$564.27 ,"3/2,0,1,0",1735/A,2008,"0.088/3,833",99/99,Y,,2.000*,8/21/16,CCR
SP1066845,A,SFR/D,2910,Club Moss   ,AVIL,AVIL,,"$1,124,777 ",$511.26 ,"3/2,0,1,0",2200/SEE,0,"0.0918/3,999",189/189,Y,,2,5/23/16,CCR
SP1068427,A,CONDO/A,69,San Miguel ST  ,AVIL,AVIL,,"$1,195,000 ",$784.64 ,"3/2,0,1,0",1523/A,2006,"0.035/1,525",153/153,Y,,2.25,6/28/16,CCR
