ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
PI1068332,U,SFR/D,795,Printz RD  ,ARRG,ARRG,,"$1,197,000 ",$244.29 ,"9/5,0,0,0",4900/S,1966,"4.63/201,683",152/152,Y,,2.5,11/15/16,CCR
SP1072227,U,SFR/D,1771,Lyn RD  ,ARRG,ARRG,SPAY,"$1,269,000 ",$407.38 ,"4/3,0,0,0",3115/A,2002,"4.81/209,524",34/34,Y,,3*,11/1/16,CCR
SC1071603,U,SFR/D,4000,Ardilla RD  ,ATSC,ATSC,,"$475,000 ",$282.07 ,"3/1,1,0,0",1684/A,1985,"1/43,560",52/52,Y,,2.5,10/11/16,CCR
SP1072430,U,SFR/A,7900,San Clemente AV  ,ATSC,ATSC,,"$499,000 ",$231.02 ,"3/3,0,0,0",2160/A,1986,"0.3841/16,731",20/20,Y,,2.5,11/21/16,CCR
PR1068824,U,SFR/D,12717,San Felipe CT   #24,ATSC,ATSC,,"$599,000 ",$255.11 ,"4/2,1,0,0",2348/S,0,"1.5/65,340",137/137,Y,,2.5,9/26/16,CCR
PI1070707,U,SFR/D,9455,Carmelita AV  ,ATSC,ATSC,,"$644,900 ",$230.32 ,"4/2,0,0,0",2800/S,0,"4.76/207,346",78/78,Y,,2.25,11/17/16,CCR
PR1068842,U,SFR/D,12720,San Felipe CT   #28,ATSC,ATSC,,"$699,000 ",$297.70 ,"4/2,1,0,0",2348/S,0,"1.75/76,230",102/102,Y,,2.5,9/19/16,CCR
PR1069524,U,SFR/D,9228,Santa Margarita RD  ,ATSC,ATSC,,"$865,000 ",$262.36 ,"3/2,0,0,0",3297/A,2000,"2.3/100,188",116/116,Y,Y,2.5,11/11/16,CCR
PR1056560,U,SFR/D,10805,Fuentes RD  ,ATSC,ATSC,,"$3,995,000 ","$1,044.99 ","3/3,0,0,1",3823/B,2007,"320.2/13,947,912",517/517,Y,Y,2.5,11/21/16,CCR
SP1063279,U,SFR/D,2920,Club Moss LN  ,AVIL,AVIL,,"$1,345,000 ",$546.30 ,"3/1,1,1,0",2462/S,0,"0.1216/5,297",267/267,Y,,2,9/16/16,CCR
SC1070045,U,SFR/A,421,Orcas   ,MRBY,MRBY,,"$635,000 ",$367.69 ,"3/2,0,1,0",1727/A,1998,"0.0551/2,400",104/108,Y,,2,10/15/16,CCR
PI1071319,U,SFR/D,250,Elaine WY  ,PSMO,PSMO,,"$749,000 ",$352.30 ,"3/2,0,1,0",2126/A,1988,"0.2066/8,999",64/64,Y,,2,10/8/16,CCR
PI1070944,U,SFR/D,540,San Luis AV  ,PSMO,PSMO,,"$939,000 ",$327.86 ,"5/4,0,0,0",2864/A,1929,"0.1263/5,502",77/77,N,,2.5,10/20/16,CCR
PI1067869,U,SFR/D,266,Pier   ,PSMO,PSMO,,"$2,400 ",$2.06 ,"2/1,0,0,0",1166/A,1931,"0.0918/3,999",148/148,Y,,2,9/12/16,CCR
SP1057987,U,SFR/D,769,Greystone   ,SLO,SLO,,"$4,200 ",$434.78 ,"3/3,0,1,0",3450/A,1995,"0.253/10,999",476/476,Y,,2.5,2/5/16,CCR
CV16190151,U,SFR/D,930,Bennett WY  ,TTON,TTON,"NOD,SPAY","$525,000 ",$255.23 ,"3/2,0,0,0",2057/E,2002/EST,"0.98/42,689",75/75,N,N,2.5,8/30/16,CRMLSM
PI1070043,P,SFR/A,316,Tiger Tail   ,ARRG,ARRG,,"$395,000 ",$363.05 ,"2/2,0,0,0",1088/A,1976,"0.1664/7,248",77/77,Y,,2.5,11/5/16,CCR
PI1069551,P,SFR/D,993,Sycamore DR  ,ARRG,ARRG,SPAY,"$399,900 ",$214.08 ,"3/1,2,0,0",1868/A,1963,"0.2406/10,481",87/87,Y,,2.5,10/20/16,CCR
PI1070329,P,SFR/A,1182,Pacific Pointe WY  ,ARRG,ARRG,,"$410,000 ",$309.20 ,"3/2,0,0,0",1326/A,1989,"0.0918/3,999",84/84,N,,2,11/11/16,CCR
PI1071804,P,SFR/D,713,Cornwall AV  ,ARRG,ARRG,,"$469,000 ",$407.12 ,"2/2,0,0,0",1152/A,2008,"0.0717/3,123",15/15,Y,,2.5,10/25/16,CCR
PI1072328,P,SFR/D,860,Pearl DR  ,ARRG,ARRG,,"$474,500 ",$432.15 ,"3/2,0,0,0",1098/A,1962,"0.1366/5,950",7-Jul,Y,,2.25,10/31/16,CCR
SC1071991,P,SFR/D,1031,Farroll   ,ARRG,ARRG,,"$479,000 ",$273.25 ,"3/1,1,0,0",1753/S,1963,"0.15/6,534",16/16,Y,,2.5,10/26/16,CCR
